"v021","v022","mort_adulte","age_ref","sexe_fratrie","v190","v024","v025","v106","v501","poids"
1,8,0,36,1,2,5,1,2,1,0.990064
1,8,0,35,1,2,5,1,2,1,0.990064
1,8,0,34,2,2,5,1,2,1,0.990064
1,8,0,33,1,2,5,1,2,1,0.990064
1,8,0,30,2,2,5,1,2,1,0.990064
1,8,0,28,2,2,5,1,2,1,0.990064
1,8,0,26,2,2,5,1,2,1,0.990064
1,8,0,15,2,2,5,1,0,5,0.990064
1,8,0,20,2,4,5,1,2,1,0.990064
1,8,0,18,2,4,5,1,2,1,0.990064
1,8,0,18,2,4,5,1,1,0,0.990064
1,8,0,21,1,3,5,1,0,1,0.990064
1,8,0,19,2,3,5,1,0,1,0.990064
1,8,0,15,1,3,5,1,0,1,0.990064
1,8,0,27,2,3,5,1,1,1,0.990064
1,8,0,25,1,3,5,1,1,1,0.990064
1,8,0,22,1,3,5,1,1,1,0.990064
1,8,0,18,2,3,5,1,1,1,0.990064
1,8,0,16,2,3,5,1,1,1,0.990064
1,8,0,32,2,3,5,1,1,1,0.990064
1,8,0,30,2,3,5,1,1,1,0.990064
1,8,0,28,2,3,5,1,1,1,0.990064
1,8,0,24,2,3,5,1,1,1,0.990064
1,8,0,50,1,3,5,1,0,1,0.990064
1,8,0,47,2,3,5,1,0,1,0.990064
1,8,0,45,1,3,5,1,0,1,0.990064
1,8,0,40,2,3,5,1,0,1,0.990064
1,8,0,35,2,3,5,1,0,1,0.990064
1,8,0,33,2,3,5,1,0,1,0.990064
1,8,0,31,2,3,5,1,0,1,0.990064
1,8,0,28,2,3,5,1,0,1,0.990064
1,8,0,23,1,2,5,1,1,1,0.990064
1,8,0,20,2,2,5,1,1,1,0.990064
1,8,0,18,1,2,5,1,1,1,0.990064
1,8,0,38,2,2,5,1,1,1,0.990064
1,8,0,34,1,2,5,1,1,1,0.990064
1,8,0,32,2,2,5,1,1,1,0.990064
1,8,0,30,2,2,5,1,1,1,0.990064
1,8,0,28,2,2,5,1,1,1,0.990064
1,8,0,26,2,2,5,1,1,1,0.990064
1,8,0,24,2,2,5,1,1,1,0.990064
1,8,0,22,2,2,5,1,1,1,0.990064
1,8,0,57,1,2,5,1,0,1,0.990064
1,8,0,53,2,2,5,1,0,1,0.990064
1,8,0,45,2,2,5,1,0,1,0.990064
1,8,0,35,2,2,5,1,0,1,0.990064
1,8,0,43,1,2,5,1,1,1,0.990064
1,8,0,41,1,2,5,1,1,1,0.990064
1,8,0,35,1,2,5,1,1,1,0.990064
1,8,1,26,2,2,5,1,1,1,0.990064
1,8,0,29,2,2,5,1,1,1,0.990064
1,8,0,27,1,2,5,1,1,1,0.990064
1,8,0,55,2,3,5,1,1,1,0.990064
1,8,1,50,2,3,5,1,1,1,0.990064
1,8,0,50,2,3,5,1,1,1,0.990064
1,8,0,47,2,3,5,1,1,1,0.990064
1,8,0,44,2,3,5,1,1,1,0.990064
1,8,0,43,2,3,5,1,1,1,0.990064
1,8,0,42,2,3,5,1,1,1,0.990064
1,8,0,37,1,3,5,1,1,1,0.990064
1,8,0,25,2,3,5,1,1,1,0.990064
1,8,0,36,1,3,5,1,1,0,0.990064
1,8,0,33,1,3,5,1,1,0,0.990064
1,8,0,31,2,3,5,1,1,0,0.990064
1,8,0,29,2,3,5,1,1,0,0.990064
1,8,0,27,1,3,5,1,1,0,0.990064
1,8,0,23,1,3,5,1,1,0,0.990064
1,8,0,20,2,3,5,1,1,0,0.990064
1,8,0,35,2,3,5,1,1,1,0.990064
1,8,0,28,1,3,5,1,1,1,0.990064
1,8,0,26,1,3,5,1,1,1,0.990064
1,8,0,22,2,3,5,1,1,1,0.990064
1,8,0,56,1,3,5,1,1,1,0.990064
1,8,0,51,2,3,5,1,1,1,0.990064
1,8,0,45,2,3,5,1,1,1,0.990064
1,8,0,38,1,3,5,1,1,1,0.990064
1,8,0,37,2,3,5,1,0,1,0.990064
1,8,0,24,1,4,5,1,1,1,0.990064
1,8,0,17,2,4,5,1,1,1,0.990064
1,8,0,40,1,3,5,1,1,4,0.990064
1,8,0,38,2,3,5,1,1,4,0.990064
1,8,0,36,2,3,5,1,1,4,0.990064
1,8,0,21,2,2,5,1,1,1,0.990064
1,8,0,18,1,2,5,1,1,1,0.990064
1,8,0,42,2,2,5,1,0,1,0.990064
1,8,0,40,2,2,5,1,0,1,0.990064
1,8,0,36,1,2,5,1,0,1,0.990064
1,8,0,34,1,2,5,1,0,1,0.990064
1,8,0,32,1,2,5,1,0,1,0.990064
1,8,1,29,2,2,5,1,0,1,0.990064
1,8,0,25,2,2,5,1,0,1,0.990064
1,8,0,27,2,2,5,1,1,1,0.990064
1,8,0,40,2,3,5,1,0,1,0.990064
1,8,0,38,1,3,5,1,0,1,0.990064
1,8,0,35,1,3,5,1,0,1,0.990064
1,8,0,32,2,3,5,1,0,1,0.990064
1,8,0,30,1,3,5,1,0,1,0.990064
1,8,0,24,2,3,5,1,0,1,0.990064
1,8,0,22,2,3,5,1,0,1,0.990064
1,8,1,42,1,2,5,1,1,1,0.990064
1,8,0,43,1,2,5,1,1,1,0.990064
1,8,0,41,1,2,5,1,1,1,0.990064
1,8,0,39,2,2,5,1,1,1,0.990064
1,8,0,35,1,2,5,1,1,1,0.990064
1,8,0,32,1,2,5,1,1,1,0.990064
2,7,0,50,1,3,4,2,1,1,0.456452
2,7,0,48,2,3,4,2,1,1,0.456452
2,7,0,46,2,3,4,2,1,1,0.456452
2,7,0,43,1,3,4,2,1,1,0.456452
2,7,0,40,2,3,4,2,1,1,0.456452
2,7,0,36,2,3,4,2,1,1,0.456452
2,7,0,24,1,3,4,2,2,0,0.456452
2,7,0,16,1,3,4,2,2,0,0.456452
2,7,0,50,1,3,4,2,1,5,0.456452
2,7,0,48,2,3,4,2,1,5,0.456452
2,7,0,46,2,3,4,2,1,5,0.456452
2,7,0,44,2,3,4,2,1,5,0.456452
2,7,0,42,1,3,4,2,1,5,0.456452
2,7,0,40,2,3,4,2,1,5,0.456452
2,7,0,25,2,2,4,2,1,2,0.456452
2,7,0,50,1,2,4,2,1,2,0.456452
2,7,0,49,2,2,4,2,1,2,0.456452
2,7,0,46,2,2,4,2,1,2,0.456452
2,7,0,44,1,2,4,2,1,2,0.456452
2,7,0,42,1,2,4,2,1,2,0.456452
2,7,0,26,2,5,4,2,3,0,0.456452
2,7,0,18,1,5,4,2,3,0,0.456452
2,7,0,17,1,5,4,2,3,0,0.456452
2,7,0,50,2,2,4,2,1,2,0.456452
2,7,0,48,1,2,4,2,1,2,0.456452
2,7,0,46,2,2,4,2,1,2,0.456452
2,7,0,44,2,2,4,2,1,2,0.456452
2,7,0,19,2,1,4,2,1,5,0.456452
2,7,0,16,2,1,4,2,1,5,0.456452
2,7,0,51,1,3,4,2,1,1,0.456452
2,7,0,49,1,3,4,2,1,1,0.456452
2,7,0,48,1,3,4,2,1,1,0.456452
2,7,0,43,1,3,4,2,1,1,0.456452
2,7,0,41,1,3,4,2,1,1,0.456452
2,7,0,40,1,3,4,2,1,1,0.456452
2,7,0,33,1,3,4,2,2,2,0.456452
2,7,0,31,1,3,4,2,2,2,0.456452
2,7,0,29,1,3,4,2,2,2,0.456452
2,7,0,27,1,3,4,2,2,2,0.456452
2,7,0,25,1,3,4,2,2,2,0.456452
2,7,0,23,2,3,4,2,2,2,0.456452
2,7,0,27,1,2,4,2,1,2,0.456452
2,7,0,23,2,2,4,2,1,2,0.456452
2,7,0,21,1,2,4,2,1,2,0.456452
2,7,0,20,2,2,4,2,1,2,0.456452
2,7,0,18,2,2,4,2,1,2,0.456452
2,7,0,27,1,2,4,2,2,0,0.456452
2,7,0,25,2,2,4,2,2,0,0.456452
2,7,0,23,2,2,4,2,2,0,0.456452
2,7,0,21,1,2,4,2,2,0,0.456452
2,7,0,18,2,2,4,2,2,0,0.456452
2,7,0,37,1,2,4,2,1,2,0.456452
2,7,0,33,2,2,4,2,1,2,0.456452
2,7,0,31,1,2,4,2,1,2,0.456452
2,7,1,27,1,2,4,2,1,2,0.456452
2,7,0,27,2,2,4,2,1,2,0.456452
2,7,0,25,2,2,4,2,1,2,0.456452
2,7,0,22,2,2,4,2,1,2,0.456452
2,7,0,15,2,1,4,2,2,0,0.456452
2,7,0,44,2,2,4,2,1,1,0.456452
2,7,0,41,2,2,4,2,1,1,0.456452
2,7,0,38,2,2,4,2,1,1,0.456452
2,7,1,32,1,2,4,2,1,1,0.456452
2,7,0,29,1,2,4,2,2,2,0.456452
2,7,0,21,2,2,4,2,2,2,0.456452
2,7,0,17,2,2,4,2,2,2,0.456452
2,7,0,15,1,2,4,2,2,2,0.456452
2,7,0,43,1,1,4,2,1,1,0.456452
